Leek, Groningen	@SportvisserijNL hallo, ik heb zelf een vispas maar wil graag iemand meenemen die een spierziekte heeft en dus geen vispas heeft.Wat te doen
Groningen	Vandaag staan we op de markt van #VoorNietsGaatDeZonOp Kom even langs &amp; zeg hallo! https://t.co/1qCWFcS6Go
Groningen, Nederland	RT @Teunvandekeuken: I luv this  T-shirt dat mijn vrouw voor mij in de VS kocht. #weshallovercomb #Trump https://t.co/cB370kdITa
Groningen	Oh hallo! Wij spelen vanmiddag om 17:30 op Amsterdam Kookt !! Dat wordt smullen. Kom je ook eten en luisteren ?🍴
NL, Groningen	@NadiaBouras ja hallo, er moet wel heel wat gebeuren voordat ik me in het oranje hijs hoor!
Groningen	@ElizabethPilat hallo Elizabeth, zou je mij kunnen volgen zodat ik je een DM kan sturen met een vraag?! #dtv
Groningen, #Beijum	En dan staat er een heel mooi blond meisje voor de deur die even hallo kwam zeggen en haar zusje wilde laten... https://t.co/rmelEpXCIJ
Groningen, Nederland	#NowPlaying LOS van B-Brave #BBRAVESQUAD @BBraveOfficial hallo ik wil slapen ♫ https://t.co/BTFo2ELhO5
Groningen, Nederland	Mooie grap. 15 miljoen #redbull max blikjes en een directeur die dat dan een collectors item is,hallo koekoek! 15miljoen!!!
Groningen, Nederland	Zoek een vent die heerlijk te keer wilt gaan hallo daar! ik ben sandra van 46 en ik zoek naar een toffe meid https://t.co/iKmG7149RN #seks
Groningen	@IKEANederland hallo!! Gekke vraag! Ben moer schroef van m'n bed kwijt geraakt! Verkopen jullie ook losse schroeven moeren bouten😞
Groningen, Nederland	@BjarnBronsveld @_abceline hallo neem mij ook mee
Groningen, Nederland	19 en nog lekker maagd Hey hallo! Ik ben Maria, ja ja heilige maagd maria dus eigenlijk, want ik ben nog maag https://t.co/APYvnoOuvg #seks
Groningen, Nederland	Ik hou er van om mannen lekker op te geilen hallo, ben jij lekker en geil? lief voor een dame? en goed verzor https://t.co/HB0iF6glwL #seks
Groningen, Nederland	@michellewijma Ik zie nu zo'n lieve heimweeterrorist voor me: 'Ja hallo mag ik anders Groningen opblazen? Amsterdam is zo ver weg!'
Leek, Groningen	@Telfort hallo kan ik ip adressen tijdelijk uitschakelen ivm ouder toezicht, heb een Zyxel modem.Als ik inlog in de modem kan zoiets dan?
Groningen	*EWDPS*\n\nHalli hallo!! Het eten staat vanavond gewoon weer klaar hoor! Het menu van vandaag:..... \n\nEen heerlijke... https://t.co/fTUlRylcCr
Groningen, Nederland	Italiaanse ouders maar zelf geboren in Amsterdam Hallo hallo! Mijn naam is Gulia maar mijn vrienden noemen mi https://t.co/0Q6K03W7Uc #seks
Almere en Groningen	@vodafoneNL hallo heeft u al nieuws ?
Groningen, Nederland	Droom je van 1001 arabische nachten met Durya (25)? hallo Schatje, Ik ben Durya, een arabisch meisje die dro https://t.co/Bu1Ean6AdM #seks
Groningen	@NS_online hallo, kan zoontje (11jaar) ook alleen met railrunner reizen en zo ja: hoe zet ik dat op zijn ov chipkaart?
Zuidhorn, Groningen	@LuckyGraafNL hallo kan je ons even terug volgen wil wat vragen duurt niet lang
Groningen	@veilingen hallo; heb kaartjes voor de apenheul. Maar in account staat: waardebon status : gebruikt. Hoe kan dat? Heb ze vandaag gewonnen..
Groningen | Maassluis	Wow wat een overmacht van Dafne Schippers op de 200m in Oslo en wat een tijd... 21.95. Zo hallo concurrentie, ze is in vorm.
regio Groningen	Er zijn weer mooie spullies onderweg, lees ik net. Einde shallow tweet.
Groningen, Nederland	@OffensiveHost hallow ik heb Perongelijk 2 serversbesteld hetging perongerlijk zou u dat ongedaan kunnen maken ?
Groningen	@hallootjepootje Dat je die nog had!!! 🍫⚡️❤️
Groningen, Nederland	Vrouw van 31 zoekt een nieuwe/andere uitdaging Hey hallo!! Ik ben Karin. Ik ben getrouwd, mijn man weet ook https://t.co/yqHfFnsmNY #seks
Groningen, Nederland	Wil graag eens wat nieuws proberen Hey hallo daar Ik ben hier een beetje nieuw in, maar wil eens wat anders https://t.co/QachZYzqqV #seks
Groningen	Google die aan me vraagt 'Come here often?'. Ja hallo, dat weten jullie zelf toch ook wel, dat dat *niet* zo is.
Groningen, Nederland	Ben jij meer dan een brok geilheid Ik ben Merel, hallo. vierentwintig jaar dus, Steenbok sterrenbeeld en ik https://t.co/NZMkYhNF8c #seks
Veendam, Groningen	@TUI hallo hebben jullie ook een keycord om weg te geven? Of een saftycard van de 787?
Groningen	@thuisbezorgd hallo mijn eerste klacht heb ik een reactie opgekregen maar het restaurant heeft zijn afspraak niet waargemaakt opgelicht!
Groningen/Hoogkerk 	hallo allemaal\n\ngister zijn er na spanje nog 2 wedstrijden geweest Zweden- Ierland 1-1 en Italie - Belgie 2-0... https://t.co/c2GBpJE3za
Groningen	Na lange leuke dag onderzoeksresultaten presenteren in Ede @che en een etentje in Utrecht nu eindelijk eindelijk weer in Hoogkerk. #hallobed
Groningen	Na lange leuke dag onderzoeksresultaten presenteren in Ede #che en een etentje in Utrecht nu eindelijk eindelijk weer in Hoogkerk. #hallobed
Groningen	Na lange leuke dag onderzoeks presenteren in Ede @dehogeschoolede en een etentje in Utrecht nu eindelijk weer in Hoogkerk. #hallobed
Groningen	Na lange leuke dag onderzoeken presenteren in Ede @dehogeschoolede en een etentje in Utrecht nu eindelijk weer in Hoogkerk. #hallobed
Groningen	Dag weekend, hallo 'werk'! Op woensdag trap ik altijd de week af in @twisterPoelestr. Opdat u het weet! https://t.co/O34ASM6xan
Groningen, Netherlands	*Joined random stream en zegt hallo in chat*\n\nWordt de dood in gewenst met kanker omdat ik Ginandos ben.. \n\nOke..?
Groningen	@karin_zuidema hallo Karin, dank voor je bericht! Het was een geweldige dag gisteren. Leuk elkaar ontmoet te hebben.
Groningen	@karinwinters hallo Karin, geen dames in het forum, maar wel in de zaal hoor:)
Groningen	@Smitano @gertjanmiedema @TeamRoompot @tds ja niet verkeerd. #hallomedaillespiegel zegt Thijs Zonneveld altijd
Groningen, Nederland	hallo was ik er weer
Groningen, Nederland	hallo twitter was best leuk, waarom doet bijna niemand het meer
Groningen, Nederland	Ben jij meer dan een brok geilheid Ik ben Merel, hallo. vierentwintig jaar dus, Steenbok sterrenbeeld en ik https://t.co/NZMkYhNF8c #seks
Groningen	@Arriva_NL hallo, ik wil komende week met een hond naar Leeuwarden, moet ik voor hem ook een kaartje kopen?
Netherlands (Groningen)	Pfff hallooo ? Geluid AAN mag ie ? Wtf man
Groningen, Nederland	19 en nog lekker maagd Hey hallo! Ik ben Maria, ja ja heilige maagd maria dus eigenlijk, want ik ben nog maag https://t.co/APYvnoOuvg #seks
Groningen, Nederland	Droom je van 1001 arabische nachten met Durya (25)? hallo Schatje, Ik ben Durya, een arabisch meisje die dro https://t.co/Bu1Ean6AdM #seks
Groningen, Nederland	Vrouw van 31 zoekt een nieuwe/andere uitdaging Hey hallo!! Ik ben Karin. Ik ben getrouwd, mijn man weet ook https://t.co/yqHfFnsmNY #seks
Groningen	@tomdelouw @hendriksmj @gasolinebrother Ja hallo laat nu maar hè. 😉
Groningen, Nederland	Zoek een vent die heerlijk te keer wilt gaan hallo daar! ik ben sandra van 46 en ik zoek naar een toffe meid https://t.co/iKmG70Mytd #seks
Groningen, Nederland	Italiaanse ouders maar zelf geboren in Amsterdam Hallo hallo! Mijn naam is Gulia maar mijn vrienden noemen mi https://t.co/0Q6K03W7Uc #seks
Groningen	RT @enthousyasmin: hallo, ik ben nog steeds op zoek naar #lgbt+ koppels die heel erg op elkaar lijken en niet bang zijn voor de camera! gra…
Groningen / Nijverdal	Wat is dit ineens met lange mensen op Twitter hallo
Groningen	@ikbenirisniet Marie Kondo zou boos op je zijn. Ik bedoel: wasmand hallooo! (Maar nee idd: CUTE.)
Groningen, Nederland	RT @NettieKlompsma: Ja, hallo!  Dat is nog twee keer de eerder door SodM veilig geachte grens van 12 mrd #gaswinning #gfasbesluit #Shell ht…
Groningen	@DelfSail hallo, we hebben het event DelfSail in onze #breakdeweek (vandaag online!) vermeld: https://t.co/4WYTJfc23C Fijne dag!
Groningen & Bedum	Maak je SEO-strategie future-proof: vaarwel toptermen, hallo longtail https://t.co/scWusVwtL0
Groningen	RT @Frankwatching: Maak je SEO-strategie future-proof: vaarwel toptermen, hallo longtail https://t.co/Y1XM0Ip4cP door @Chantal_Smink https:…
Groningen, Nederland	Ik hou er van om mannen lekker op te geilen hallo, ben jij lekker en geil? lief voor een dame? en goed verzor https://t.co/HB0iF6glwL #seks
Groningen, Nederland	Wil graag eens wat nieuws proberen Hey hallo daar Ik ben hier een beetje nieuw in, maar wil eens wat anders https://t.co/QachZYzqqV #seks
Groningen city	@YellowbrickNL hallo ik ben mn inloggegevens kwijt , had wel klantnr en ww genoteerd maar werkt niet , account kan wel op twee pfones toch?
Groningen	@BPF_PGB hallo pgb, waarom beantwoorden jullie mijn mail niet?
Vollenhove / Groningen 	@NS_online hallo, is jullie nieuwe motto: het is niet mijn probleem dat jullie niet thuis komen - ookal paste het nog in de trein?
Groningen	Hallo #weekend, hallo #vrijheid! Voor meditteraanse sferen hoef je niet op vakantie, wij serveren een... https://t.co/hvzfZEHGIc
Groningen, The Netherlands	@eldrono Jammer, dank voor t zoeken. Ik kom straks nog wel ff hallo zeggen.
Groningen, Nederland	hallo ik ben brian ben 12 jaar wil heel graag in the kingdom ik ben jong maar hoop dat niet boeit ben heel actief doe alles #jenava
Groningen, Nederland	hallo ik ben brian ben 12 jaar wil heel graag in the kingdom ik ben jong maar skype brianpostma7 ben heel actief doe alles #jenava
Groningen, Nederland	hallo ik ben brian ben 12 jaar wil heel graag in the kingdom ik ben jong maar skype brianpostma7 ben heel actief doe alles plzz #jenava
Groningen, Nederland	hallo ik ben brian ben 12 jaar wil heel graag in the kingdom ik ben jong maar skype brianpostma7 ben heel actief doe allesplzzzzz #jenava
Groningen, Nederland	Vrouw van 31 zoekt een nieuwe/andere uitdaging Hey hallo!! Ik ben Karin. Ik ben getrouwd, mijn man weet ook https://t.co/yqHfFnsmNY #seks
Groningen	hallooooo, zijn er mensen die weleens iets uit amerika bestellen?
Groningen, Nederland	RT @_abceline: Like dit en ik DM je 3 namen, quote dan deze tweet met wie je 'Fucked, Married &amp; Killed.'\n\nhallo ik heb dit even gejat van @…
Groningen, Nederland	@1975esmee waarom tweet je dat 2 x hallo ik hoor je wel !!
Groningen	@fathertuck hallo Jos,over foto's gesproken, hier een aantal die ik gemaakt heb \nhttps://t.co/2ApDFmnQL3 een paar staan ook op Google Maps
Groningen	@TUINederland hallo ik heb problemen bij het online inchecken, via app en browser.. En de online incheck sluit al over een paar uur :/
Groningen, Nederland	Wat een scheidsrechter hallo zeg #ITAESP
Groningen	Ja hallo zeg. Hier valt niet tegenop te tweeten hoor! #engijs
Almere en Groningen	@almere hallo welke werkzaamheden gaan er plaatsvinden op het plassenpad?
Hoogezand-Sappemeer, Groningen	@JarecStaal De deadline is vandaag hallo?
Groningen, Nederland	@wiebie74 hallo, er waren inderdaad wat problemen. De website lag er af en toe uit, maar dit is inmiddels weer opgelost.
Veendam, Groningen	@SurinamAirways hallo ik spaar luchtvaart goodies kunnen jullie mij iets sturen?
Groningen city	@tis_zoals_tis  😂 ja hallo dat was mn oude ik , blijft me achtervolgen , krijg nu wel Zin in iets btw 😛 @sjaakkohaku
Groningen, Nederland	Ik hou er van om mannen lekker op te geilen hallo, ben jij lekker en geil? lief voor een dame? en goed verzor https://t.co/HB0iF6glwL #seks
